year,i3,inf,rec,out,def,i3_1,inf_1,def_1,ci3,cinf,cdef,y77
1948,1.04,8.1,16.4,11.7,-4.7,.,.,.,.,.,.,0
1949,1.1,-1.2,14.6,14.4,-0.2000008,1.04,8.1,-4.7,0.0600001,-9.3,4.499999,0
1950,1.22,1.3,14.5,15.6,1.1,1.1,-1.2,-0.2000008,0.12,2.5,1.300001,0
1951,1.55,7.9,16.1,14.2,-1.900001,1.22,1.3,1.1,0.3299999,6.6,-3.000001,0
1952,1.77,1.9,18.9,19.4,0.5,1.55,7.9,-1.900001,0.22,-6,2.400001,0
1953,1.93,0.8,18.7,20.4,1.699999,1.77,1.9,0.5,0.16,-1.1,1.199999,0
1954,0.95,0.7,18.5,18.8,0.2999992,1.93,0.8,1.699999,-0.98,-0.1,-1.4,0
1955,1.75,-0.4,16.5,17.3,0.7999992,0.95,0.7,0.2999992,0.8,-1.1,0.5,0
1956,2.66,1.5,17.5,16.6,-0.8999996,1.75,-0.4,0.7999992,0.9100001,1.9,-1.699999,0
1957,3.27,3.3,17.8,17.0,-0.7999992,2.66,1.5,-0.8999996,0.6099999,1.8,0.1000004,0
1958,1.84,2.8,17.4,18.0,0.6000004,3.27,3.3,-0.7999992,-1.43,-0.5,1.4,0
1959,3.41,0.7,16.2,18.8,2.599998,1.84,2.8,0.6000004,1.57,-2.1,1.999998,0
1960,2.93,1.7,17.8,17.8,0.0,3.41,0.7,2.599998,-0.48,1,-2.599998,0
1961,2.38,1.0,17.8,18.4,0.6000004,2.93,1.7,0,-0.55,-0.7,0.6000004,0
1962,2.78,1.0,17.6,18.8,1.199999,2.38,1,0.6000004,0.3999999,0,0.5999985,0
1963,3.16,1.3,17.8,18.6,0.8000011,2.78,1,1.199999,0.3800001,0.3,-0.3999977,0
1964,3.55,1.3,17.6,18.5,0.8999996,3.16,1.3,0.8000011,0.3899999,0,0.0999985,0
1965,3.95,1.6,17.0,17.2,0.2000008,3.55,1.3,0.8999996,0.4000001,0.3000001,-0.6999989,0
1966,4.88,2.9,17.4,17.9,0.5,3.95,1.6,0.2000008,0.9300001,1.3,0.2999992,0
1967,4.32,3.1,18.3,19.4,1.1,4.88,2.9,0.5,-0.5599999,0.1999998,0.6000004,0
1968,5.34,4.2,17.6,20.5,2.9,4.32,3.1,1.1,1.02,1.1,1.799999,0
1969,6.68,5.5,19.7,19.4,-0.3000011,5.34,4.2,2.9,1.34,1.3,-3.200001,0
1970,6.46,5.7,19.1,19.4,0.2999992,6.68,5.5,-0.3000011,-0.2199998,0.1999998,0.6000004,0
1971,4.35,4.4,17.4,19.5,2.1,6.46,5.7,0.2999992,-2.11,-1.3,1.800001,0
1972,4.07,3.2,17.6,19.6,2.0,4.35,4.4,2.1,-0.2799997,-1.2,-0.1000004,0
1973,7.04,6.2,17.7,18.8,1.099998,4.07,3.2,2,2.97,3,-0.9000015,0
1974,7.89,11.0,18.3,18.7,0.4000015,7.04,6.2,1.099998,0.8499999,4.8,-0.6999969,0
1975,5.84,9.1,18.0,21.4,3.4,7.89,11,0.4000015,-2.05,-1.9,2.999998,0
1976,4.99,5.8,17.2,21.5,4.299999,5.84,9.1,3.4,-0.8500004,-3.3,0.8999996,0
1977,5.27,6.5,18.0,20.8,2.799999,4.99,5.8,4.299999,0.2800002,0.6999998,-1.5,1
1978,7.22,7.6,18.1,20.7,2.6,5.27,6.5,2.799999,1.95,1.1,-0.1999989,1
1979,10.04,11.3,18.6,20.2,1.6,7.22,7.6,2.6,2.82,3.7,-1,1
1980,11.51,13.5,19.0,21.7,2.700001,10.04,11.3,1.6,1.47,2.2,1.1,1
1981,14.03,10.3,19.7,22.2,2.5,11.51,13.5,2.700001,2.52,-3.2,-0.2000008,1
1982,10.69,6.2,19.2,23.2,4.0,14.03,10.3,2.5,-3.34,-4.1,1.5,1
1983,8.63,3.2,17.6,23.6,6.0,10.69,6.2,4,-2.059999,-3,2,1
1984,9.58,4.3,17.5,22.3,4.799999,8.63,3.2,6,0.9499998,1.1,-1.200001,1
1985,7.48,3.6,17.9,23.1,5.200001,9.58,4.3,4.799999,-2.1,-0.7000003,0.4000015,1
1986,5.98,1.9,17.6,22.6,5.0,7.48,3.6,5.200001,-1.5,-1.7,-0.2000008,1
1987,5.82,3.6,18.6,21.8,3.199999,5.98,1.9,5,-0.1599998,1.7,-1.800001,1
1988,6.69,4.1,18.4,21.5,3.1,5.82,3.6,3.199999,0.8699999,0.5,-0.0999985,1
1989,8.12,4.8,18.5,21.4,2.9,6.69,4.1,3.1,1.43,0.7000003,-0.2000008,1
1990,7.51,5.4,18.2,22.0,3.799999,8.12,4.8,2.9,-0.6099997,0.5999999,0.8999996,1
1991,5.42,4.2,18.0,22.6,4.6,7.51,5.4,3.799999,-2.09,-1.2,0.8000011,1
1992,3.45,3.0,17.8,22.5,4.700001,5.42,4.2,4.6,-1.97,-1.2,0.1000004,1
1993,3.02,3.0,17.8,21.8,4.0,3.45,3,4.700001,-0.4300001,0,-0.7000008,1
1994,4.29,2.6,18.4,21.4,3.0,3.02,3,4,1.27,-0.4000001,-1,1
1995,5.51,2.8,18.8,21.1,2.300001,4.29,2.6,3,1.22,0.2,-0.6999989,1
1996,5.02,3.0,19.4,20.8,1.4,5.51,2.8,2.300001,-0.4900002,0.2,-0.9000015,1
